Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
826131,-1.09,0.51,9.09,0.03,-0.01,0.0
826141,-1.08,0.51,9.06,0.03,-0.01,0.0
826151,-1.08,0.51,9.07,0.03,-0.01,0.0
826161,-1.1,0.52,9.07,0.03,-0.01,0.01
826171,-1.08,0.52,9.08,0.03,-0.01,0.01
826181,-1.09,0.52,9.07,0.03,-0.01,0.01
826191,-1.11,0.51,9.06,0.03,-0.01,0.01
826201,-1.12,0.5,9.05,0.03,-0.01,0.0
826211,-1.1,0.51,9.06,0.03,-0.01,0.0
826221,-1.09,0.52,9.09,0.03,-0.01,0.0
826231,-1.08,0.51,9.07,0.03,-0.01,0.0
826241,-1.08,0.49,9.1,0.03,-0.01,0.0
826251,-1.09,0.5,9.08,0.03,-0.01,0.0
826261,-1.08,0.5,9.09,0.03,-0.01,0.0
826271,-1.07,0.51,9.08,0.03,-0.01,0.01
826281,-1.07,0.53,9.06,0.03,-0.01,0.01
826291,-1.07,0.54,9.05,0.03,-0.01,0.01
826301,-1.08,0.53,9.03,0.03,-0.0,0.0
826311,-1.12,0.52,9.06,0.03,-0.0,0.0
826321,-1.12,0.54,9.1,0.03,-0.01,0.0
826331,-1.11,0.52,9.06,0.03,-0.01,0.0
826341,-1.09,0.51,9.07,0.03,-0.02,0.0
826351,-1.09,0.5,9.07,0.03,-0.01,0.0
826361,-1.07,0.51,9.08,0.03,-0.01,0.0
826371,-1.06,0.52,9.08,0.03,-0.01,0.01
826381,-1.07,0.51,9.06,0.03,-0.01,0.0
826391,-1.09,0.48,9.05,0.03,-0.01,0.01
826401,-1.1,0.49,9.1,0.03,-0.01,0.0
826411,-1.09,0.5,9.08,0.03,-0.01,0.01
826421,-1.12,0.49,9.07,0.03,-0.01,0.01
826431,-1.11,0.5,9.1,0.03,-0.01,0.0
826441,-1.09,0.52,9.11,0.03,-0.01,0.0
826451,-1.09,0.52,9.09,0.03,-0.02,0.0
826461,-1.08,0.51,9.08,0.03,-0.01,0.0
826471,-1.07,0.51,9.07,0.03,-0.01,0.0
826481,-1.07,0.53,9.05,0.03,-0.01,0.0
826491,-1.07,0.51,9.08,0.03,-0.01,0.0
826501,-1.08,0.51,9.07,0.03,-0.01,0.01
826511,-1.1,0.51,9.07,0.03,-0.01,0.0
826521,-1.1,0.51,9.06,0.03,-0.01,0.0
826531,-1.1,0.52,9.08,0.03,-0.01,0.0
826541,-1.1,0.53,9.08,0.03,-0.01,0.0
826551,-1.09,0.5,9.05,0.03,-0.01,0.0
826561,-1.06,0.52,9.07,0.03,-0.01,0.0
826571,-1.05,0.54,9.09,0.03,-0.01,0.0
826581,-1.06,0.52,9.08,0.03,-0.01,0.0
