#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
2492921,7.53,-0.17,14.85,0.91,-0.07,0.60
2492931,7.82,-0.50,13.53,1.02,-0.14,0.35
2492941,7.70,-0.76,12.23,1.08,-0.18,0.10
2492951,7.15,-0.95,11.08,1.11,-0.19,-0.14
2492961,6.41,-1.14,10.04,1.12,-0.17,-0.35
2492971,5.65,-1.28,9.00,1.11,-0.13,-0.53
2492981,4.94,-1.41,7.99,1.09,-0.10,-0.68
2492991,4.40,-1.59,7.01,1.05,-0.07,-0.83
2493001,3.73,-1.67,5.99,1.00,-0.05,-0.99
2493011,2.34,-1.54,4.73,0.91,-0.04,-1.14
2493021,0.57,-1.20,3.65,0.80,-0.03,-1.21
2493031,-0.73,-0.85,2.41,0.65,0.03,-1.26
2493041,-2.19,-0.28,1.26,0.47,0.10,-1.26
2493051,-3.42,0.24,0.25,0.24,0.18,-1.26
2493061,-5.01,0.85,-0.28,-0.03,0.23,-1.25
2493071,-7.05,1.33,-0.30,-0.31,0.21,-1.21
2493081,-9.56,1.72,0.36,-0.58,0.11,-1.07
2493091,-12.00,1.98,1.49,-0.82,-0.00,-0.81
2493101,-13.65,2.21,3.39,-1.01,-0.10,-0.41
2493111,-14.14,2.56,5.47,-1.11,-0.13,0.08
2493121,-12.83,2.70,7.62,-1.13,-0.12,0.59
2493131,-10.73,2.55,9.27,-1.09,-0.09,1.01
2493141,-8.25,2.02,10.47,-1.04,-0.12,1.32
2493151,-5.64,1.65,11.89,-1.02,-0.22,1.54
2493161,-2.64,1.37,13.92,-0.97,-0.31,1.65
2493171,0.06,1.02,16.18,-0.85,-0.36,1.64
2493181,2.05,1.00,18.13,-0.62,-0.35,1.57
2493191,3.96,0.79,19.45,-0.30,-0.27,1.47
2493201,5.78,0.53,19.70,0.06,-0.15,1.31
2493211,7.34,0.35,18.91,0.41,-0.04,1.12
2493221,8.63,0.05,17.14,0.70,0.06,0.87
2493231,9.63,-0.25,15.10,0.89,0.08,0.58
2493241,9.97,-0.40,13.24,0.99,0.06,0.25
2493251,9.60,-0.52,11.50,1.04,0.01,-0.08
2493261,8.90,-0.62,10.01,1.03,-0.06,-0.37
2493271,8.27,-0.73,8.71,1.00,-0.10,-0.63
2493281,7.21,-0.85,7.35,0.92,-0.09,-0.89
2493291,5.64,-0.71,6.41,0.85,-0.05,-1.10
2493301,4.05,-0.70,5.26,0.76,-0.00,-1.26
2493311,1.95,-0.49,3.92,0.64,0.02,-1.37
2493321,0.13,-0.32,2.76,0.48,-0.02,-1.40
2493331,-1.57,-0.10,1.83,0.29,-0.04,-1.39
2493341,-2.88,0.12,1.14,0.06,-0.08,-1.34
2493351,-4.24,0.62,1.07,-0.16,-0.11,-1.27
2493361,-5.51,1.02,1.12,-0.37,-0.11,-1.16
2493371,-6.76,1.39,1.27,-0.55,-0.10,-1.02
2493381,-7.88,1.75,1.62,-0.73,-0.11,-0.86
2493391,-9.04,2.14,2.15,-0.89,-0.15,-0.65
2493401,-9.96,2.28,2.70,-1.06,-0.22,-0.40
2493411,-10.43,1.99,3.84,-1.25,-0.30,-0.11
2493421,-10.39,1.55,6.17,-1.45,-0.37,0.19
2493431,-9.96,1.25,9.34,-1.56,-0.43,0.47
2493441,-9.48,1.09,12.80,-1.54,-0.42,0.75
2493451,-8.77,1.12,15.80,-1.34,-0.35,1.06
2493461,-7.03,1.09,17.78,-1.02,-0.25,1.37
2493471,-4.04,1.00,18.57,-0.64,-0.15,1.62
2493481,-0.60,0.79,18.25,-0.27,-0.05,1.71
2493491,2.54,0.33,17.12,-0.01,0.01,1.66
2493501,4.77,0.20,16.24,0.16,-0.02,1.50
2493511,6.02,0.13,15.64,0.29,-0.04,1.30
2493521,6.87,-0.12,14.82,0.39,-0.04,1.07
2493531,7.63,-0.21,14.30,0.48,-0.04,0.85
2493541,8.36,-0.37,13.67,0.57,-0.02,0.62
2493551,8.94,-0.55,13.09,0.66,-0.01,0.37
2493561,9.10,-0.66,12.44,0.75,-0.00,0.10
2493571,8.72,-0.76,11.56,0.83,-0.01,-0.16
2493581,7.88,-0.91,10.36,0.90,-0.01,-0.40
2493591,6.95,-1.13,8.94,0.92,0.00,-0.61
2493601,6.11,-1.19,7.66,0.88,0.00,-0.79
2493611,5.25,-1.21,6.58,0.81,-0.01,-0.97
2493621,4.18,-1.12,5.74,0.71,-0.02,-1.13
2493631,2.83,-1.02,4.85,0.58,-0.00,-1.29
2493641,0.93,-0.72,4.38,0.46,0.01,-1.38
2493651,-0.72,-0.56,3.98,0.33,0.02,-1.43
2493661,-2.69,-0.18,3.42,0.19,0.04,-1.42
2493671,-4.30,0.15,3.13,0.04,0.09,-1.36
2493681,-5.69,0.61,3.20,-0.12,0.12,-1.27
2493691,-6.94,0.92,3.18,-0.26,0.15,-1.16
2493701,-8.51,1.18,3.45,-0.41,0.14,-1.02
2493711,-10.35,1.34,3.89,-0.56,0.10,-0.83
2493721,-12.24,1.46,4.72,-0.71,0.08,-0.55
2493731,-13.24,1.59,6.15,-0.82,0.05,-0.18
2493741,-13.37,1.65,7.65,-0.87,0.06,0.24
2493751,-12.36,1.60,9.39,-0.87,0.03,0.67
2493761,-10.69,1.59,11.16,-0.82,-0.00,1.06
2493771,-8.10,1.45,12.46,-0.71,-0.03,1.40
2493781,-5.22,1.31,13.35,-0.57,-0.06,1.64
2493791,-2.09,1.14,14.36,-0.44,-0.07,1.78
2493801,1.13,0.91,15.24,-0.28,-0.06,1.80
2493811,4.04,0.69,15.82,-0.10,-0.00,1.72
2493821,6.67,0.37,16.19,0.09,0.10,1.53
2493831,8.54,0.24,16.35,0.29,0.16,1.24
2493841,9.41,0.11,15.78,0.50,0.18,0.89
2493851,9.26,-0.12,14.37,0.67,0.14,0.56
2493861,8.57,-0.34,12.67,0.76,0.10,0.28
2493871,8.10,-0.32,11.67,0.78,0.05,0.06
2493881,7.76,-0.40,10.84,0.81,0.01,-0.15
2493891,7.44,-0.70,9.71,0.81,-0.03,-0.36
2493901,6.38,-0.76,8.88,0.77,-0.09,-0.56
2493911,5.35,-0.83,8.05,0.73,-0.09,-0.72
2493921,4.28,-0.92,6.91,0.67,-0.06,-0.87
2493931,3.14,-1.08,6.04,0.57,-0.07,-0.99
2493941,1.66,-0.95,5.51,0.46,-0.09,-1.10
2493951,-0.05,-0.64,5.14,0.36,-0.13,-1.16
2493961,-1.85,-0.35,4.54,0.28,-0.14,-1.16
2493971,-3.54,0.01,3.83,0.17,-0.13,-1.10
2493981,-4.81,0.30,3.24,0.03,-0.08,-1.00
2493991,-5.77,0.52,2.75,-0.14,-0.03,-0.89
2494001,-6.79,0.87,2.74,-0.33,0.01,-0.77
2494011,-7.97,1.29,3.11,-0.50,0.05,-0.64
2494021,-9.07,1.72,3.81,-0.65,0.07,-0.45
2494031,-9.90,2.01,4.63,-0.76,0.06,-0.22
2494041,-10.42,2.21,5.68,-0.85,0.02,0.06
2494051,-10.30,2.25,7.04,-0.90,-0.01,0.38
2494061,-9.28,2.02,8.63,-0.92,-0.03,0.69
2494071,-7.90,1.83,10.37,-0.90,-0.08,0.95
2494081,-6.49,1.68,12.12,-0.81,-0.14,1.17
2494091,-4.85,1.55,13.39,-0.69,-0.21,1.35
2494101,-2.41,1.40,14.60,-0.56,-0.24,1.48
2494111,0.40,1.04,15.65,-0.40,-0.23,1.51
2494121,2.49,0.88,16.51,-0.23,-0.15,1.43
